"wavelength_nm","otc_arbunits","lamp_arbunits","absorbance"
189.247,-9.406,-13.744,0.1647082
189.587,-9.406,-13.744,0.1647082
189.926,-9.406,-13.744,0.1647082
190.266,-56.751635,-63.028941,0.04556163
190.606,-85.719144,-93.69498,0.0386385
190.945,-93.957912,-94.461707,0.002322433
191.285,-98.647599,-92.933022,-0.02591646
191.625,-93.375773,-96.88972,0.01604349
191.965,-93.80639,-88.287641,-0.02633251
192.304,-81.995733,-92.999047,0.05468725
192.644,-75.570506,-85.693031,0.05459317
192.984,-67.928727,-71.37447,0.02148942
193.323,-51.77635,-49.869725,-0.01629446
193.663,-38.514319,-38.795099,0.003154636
194.003,-26.81227,-30.7541,0.05956944
194.342,-7.24251,-6.933516,-0.01893558
194.682,19.137156,27.30083,0.1542984
195.022,46.937808,46.624641,-0.002907303
195.361,55.35394,69.118377,0.09644499
195.701,77.892178,80.733585,0.01556039
196.041,98.957204,104.777,0.02481853
196.38,126.96215,123.19092,-0.01309555
196.72,146.58313,137.25667,-0.02855051
197.06,162.97291,153.10706,-0.0271202
197.4,190.67082,174.69942,-0.03799278
197.739,211.7797,213.6918,0.003903538
198.079,263.42415,280.05963,0.02659492
198.419,390.17255,405.60381,0.01684531
198.758,431.36855,448.85096,0.01725368
199.098,448.24424,464.79204,0.01574396
199.438,467.91403,475.95003,0.007395287
199.777,489.55391,489.56445,9.355791e-06
200.117,506.46563,505.58567,-0.0007552234
200.457,520.64761,523.0003,0.001958053
200.796,538.06622,545.58404,0.006025933
201.136,544.3304,562.45169,0.01422264
201.476,553.40293,579.2546,0.01982804
201.815,577.25653,582.13253,0.003653017
202.155,587.52617,589.4535,0.001422335
202.495,596.98404,597.84909,0.000628854
202.835,609.1889,615.7643,0.004662524
203.174,614.42543,636.76263,0.01550839
203.514,613.48245,636.59739,0.0160627
203.854,626.54614,645.67728,0.01306244
204.193,627.46144,635.19572,0.005320524
204.533,636.54917,642.88559,0.004301733
204.873,648.83497,660.43234,0.007694088
205.212,651.51936,655.40831,0.002584618
205.552,652.73459,652.78481,3.341364e-05
205.892,648.96676,655.48614,0.00434106
206.231,640.89557,655.83008,0.01000406
