temp,avgDW,avgChl,avgSA,treatment_type,type,se_DW,se_Chl,se_SA
2,-0.3301891218,-0.7759357497,-0.456837962,control,DR,0.1302133576,0.3576267734,0.1462203941
5,-0.5965212863,-1.322673228,-0.7737947778,control,DR,0.1481628324,0.336002892,0.1761616857
10,-1.373040205,-3.105595051,-1.76844777,control,DR,0.1957970691,0.5417112177,0.1531715173
15,-2.37603789,-5.331601022,-3.068438815,control,DR,0.335779548,0.7274036751,0.2772253699
20,-3.79677438,-8.549245862,-4.974195091,control,DR,0.4722643054,1.641271847,0.4725831491
25,-4.729260602,-10.74143561,-6.126017286,control,DR,0.7215982949,2.068486811,0.7159305034
30,-6.171245042,-14.37345277,-8.829123587,control,DR,1.125695946,4.397616817,0.8988595848
2,-0.4429332188,-0.3729713791,-0.6785556194,treatment,DR,0.1434038783,0.1810052148,0.1788087979
5,-0.3941143517,-0.3104233075,-0.6804083068,treatment,DR,0.1186482681,0.1099880235,0.1535783559
10,-1.508475153,-1.054262321,-2.573991204,treatment,DR,0.3837433737,0.2449348687,0.5005109518
15,-2.517301215,-1.744885326,-4.283032961,treatment,DR,0.739721852,0.4470829191,1.031566644
20,-3.746642224,-2.658782386,-6.402784068,treatment,DR,0.998245746,0.6722886048,1.298882903
25,-4.70071503,-3.372380501,-7.9797452,treatment,DR,1.168485708,0.8989953706,1.48718415
30,-6.769607997,-5.603826891,-10.57533127,treatment,DR,1.625584905,2.333449687,1.728621447
2,1.252326816,2.958337715,1.734052319,control,NP,0.4681425279,1.289270801,0.5412706247
5,0.9957209812,2.16925218,1.331823806,control,NP,0.267076508,0.6178726041,0.3882457601
10,1.332053254,2.843764088,1.767634944,control,NP,0.4121275045,1.400088152,0.6199197739
15,0.4879866526,1.016929522,0.8418550225,control,NP,0.7103072592,0.8311436108,0.9252256057
20,-0.6376729514,-1.595085801,-0.7544704819,control,NP,0.6713333611,0.2471780378,0.9364829182
25,-1.626804217,-3.725857043,-1.963692691,control,NP,0.6103972883,0.6800850425,0.6172312402
30,-2.095301876,-4.732109819,-3.122952802,control,NP,0.5418263214,1.37637732,0.9453875221
2,2.401192749,2.075899567,3.769983017,treatment,NP,0.5733274771,0.9687529637,0.5193375494
5,1.294006981,1.220031898,2.415760619,treatment,NP,0.4923945977,0.6384997219,0.6866220277
10,2.51097698,1.883147682,4.67155938,treatment,NP,0.7661852037,0.7447740109,1.244794552
15,2.554641323,2.050051784,4.593083705,treatment,NP,0.5746368961,0.4244419985,0.7209860128
20,1.261461698,1.063126116,2.720154657,treatment,NP,0.5492583578,0.455528309,1.069278417
25,0.4504339976,0.4078883674,0.9378886009,treatment,NP,0.7153965873,0.3013387783,1.27557555
30,-1.360120216,-0.8372621015,-2.109535084,treatment,NP,1.134728704,0.5850624896,1.81809568
