temp,sample,np_DW,np_Chl,np_SA,treatment_type,type
2,C1,-0.2596340839,-0.6327954722,-0.381846832,control,DR
2,C2,-0.1483651772,-0.1554323765,-0.2495408418,control,DR
2,C3,-0.5825681042,-1.384147024,-0.7391262122,control,DR
5,C1,-0.5151057506,-1.255446056,-0.7575719493,control,DR
5,C2,-0.3780401456,-0.3960476397,-0.6358396083,control,DR
5,C3,-0.9768374744,-2.320907501,-1.239350691,control,DR
5,C4,-0.7757621607,-0.4560937823,-1.146928504,control,DR
5,C5,-0.02299931009,-0.02633289683,-0.03063735001,control,DR
5,C6,-0.9103828764,-1.073321697,-0.8324405644,control,DR
10,C1,-1.079438589,-2.630871269,-1.587542742,control,DR
10,C2,-0.7930891609,-0.8308670227,-1.333925794,control,DR
10,C3,-1.777586759,-4.223439979,-2.255291628,control,DR
10,C4,-0.9940032321,-0.5844042372,-1.469587842,control,DR
10,C5,-1.62294372,-1.858177892,-2.161921144,control,DR
10,C6,-1.971179769,-2.323978261,-1.802417468,control,DR
15,C1,-1.706696998,-4.159662387,-2.510058896,control,DR
15,C2,-1.367091891,-1.432211692,-2.299362071,control,DR
15,C3,-2.474754727,-5.879869434,-3.139815026,control,DR
15,C4,-2.069534921,-1.216741493,-3.05971174,control,DR
15,C5,-3.188454579,-3.650598438,-4.247336053,control,DR
15,C6,-3.449694225,-4.067114787,-3.154349101,control,DR
20,C1,-2.915889028,-7.10677638,-4.288431516,control,DR
20,C2,-2.500476331,-2.619583556,-4.205642996,control,DR
20,C3,-5.474011845,-13.00592523,-6.945086096,control,DR
20,C4,-3.020979889,-1.776124454,-4.466379156,control,DR
20,C5,-4.380237965,-5.015122366,-5.834909097,control,DR
20,C6,-4.489051224,-5.292494181,-4.104721685,control,DR
25,C1,-3.678284315,-8.964931051,-5.409695029,control,DR
25,C2,-2.932036564,-3.07170065,-4.931500006,control,DR
25,C3,-6.739260902,-16.01208142,-8.550355483,control,DR
25,C4,-2.847606127,-1.674192832,-4.210054062,control,DR
25,C5,-6.029906488,-6.903898632,-8.032430316,control,DR
25,C6,-6.148469216,-7.248912057,-5.62206882,control,DR
30,C1,-5.891176304,-14.35832166,-8.664220717,control,DR
30,C2,-4.376661823,-4.585138919,-7.361268297,control,DR
30,C3,-8.245897,-19.59175881,-10.46188175,control,DR
2,T1,-0.5379733228,-0.2895944953,-0.8528253735,treatment,DR
2,T2,-0.1610639597,-0.1095780537,-0.3209761118,treatment,DR
2,T3,-0.629762374,-0.7197415884,-0.8618653729,treatment,DR
5,T1,-0.7619221572,-0.4101475913,-1.20784158,treatment,DR
5,T2,-0.3622203243,-0.2464325242,-0.7218503229,treatment,DR
5,T3,-0.70278743,-0.8032003213,-0.961804286,treatment,DR
5,T4,-0.1004653474,-0.1701478806,-0.4825043826,treatment,DR
5,T5,-0.3651634103,-0.1905067875,-0.5739344516,treatment,DR
5,T6,-0.07212744079,-0.04210474008,-0.1345148178,treatment,DR
10,T1,-1.812165837,-0.9755005101,-2.872746549,treatment,DR
