"date","weight","type","rate"
"17/11/2004",13.96,"NP",3.34
"17/11/2004",13.96,"DR",4.31
"17/11/2004",13.96,"GP",7.64
"17/11/2004",13.539,"NP",4.06
"17/11/2004",13.539,"DR",1.54
"17/11/2004",13.539,"GP",5.6
"17/11/2004",11.047,"NP",4.13
"17/11/2004",11.047,"DR",0.83
"17/11/2004",11.047,"GP",4.95
"17/11/2004",12.249,"NP",3.41
"17/11/2004",12.249,"DR",4.49
"17/11/2004",12.249,"GP",7.9
"17/11/2004",13.31,"NP",2.8
"17/11/2004",13.31,"DR",5.24
"17/11/2004",13.31,"GP",8.04
"02/12/2004",12.195,"NP",2.66
"02/12/2004",12.195,"DR",6.06
"02/12/2004",12.195,"GP",8.72
"02/12/2004",15.783,"NP",3.98
"02/12/2004",15.783,"DR",1.9
"02/12/2004",15.783,"GP",5.89
"02/12/2004",11.74,"NP",2.66
"02/12/2004",11.74,"DR",4.92
"02/12/2004",11.74,"GP",7.57
"02/12/2004",13.67,"NP",2.69
"02/12/2004",13.67,"DR",5.24
"02/12/2004",13.67,"GP",7.93
"02/12/2004",11.568,"NP",2.19
"02/12/2004",11.568,"DR",5.17
"02/12/2004",11.568,"GP",7.36
"20/12/2004",11.57,"NP",3.52
"20/12/2004",11.57,"DR",10.98
"20/12/2004",11.57,"GP",14.5
"20/12/2004",10.854,"NP",1.97
"20/12/2004",10.854,"DR",5.53
"20/12/2004",10.854,"GP",7.5
"20/12/2004",10.338,"NP",1.94
"20/12/2004",10.338,"DR",6.03
"20/12/2004",10.338,"GP",7.97
"20/12/2004",9.619,"NP",1.87
"20/12/2004",9.619,"DR",5.38
"20/12/2004",9.619,"GP",7.25
"02/01/2005",15.408,"NP",4.27
"02/01/2005",15.408,"DR",10.8
"02/01/2005",15.408,"GP",15.07
"02/01/2005",14.075,"NP",2.94
"02/01/2005",14.075,"DR",8.97
"02/01/2005",14.075,"GP",11.91
"02/01/2005",15.088,"NP",2.73
"02/01/2005",15.088,"DR",8.04
"02/01/2005",15.088,"GP",10.77
"02/01/2005",10.888,"NP",2.26
"02/01/2005",10.888,"DR",7.46
"02/01/2005",10.888,"GP",9.73
"02/01/2005",16.737,"NP",3.23
"02/01/2005",16.737,"DR",12.38
"02/01/2005",16.737,"GP",15.61
"19/01/2005",11.618,"NP",2.66
"19/01/2005",11.618,"DR",12.88
"19/01/2005",11.618,"GP",15.54
"19/01/2005",15.185,"NP",3.09
"19/01/2005",15.185,"DR",12.78
"19/01/2005",15.185,"GP",15.86
"19/01/2005",14.128,"NP",2.33
"19/01/2005",14.128,"DR",10.08
"19/01/2005",14.128,"GP",12.42
"19/01/2005",13.091,"NP",2.76
"19/01/2005",13.091,"DR",12.38
"19/01/2005",13.091,"GP",15.14
"19/01/2005",10.928,"NP",1.4
"19/01/2005",10.928,"DR",4.02
"19/01/2005",10.928,"GP",5.42
