Date,Object,Weight_g,Area,Time
11/06/2021,5,6.0548,6.46,9:58:53
11/06/2021,5,6.0548,6.46,10:05:19
11/06/2021,6,7.0431,7.52,10:26:33
11/06/2021,6,7.0431,7.52,10:33:53
11/06/2021,5,5.8474,6.46,11:03:00
11/06/2021,5,5.8474,6.46,11:07:27
11/06/2021,6,6.9407,7.52,11:20:02
11/06/2021,6,6.9407,7.52,11:24:01
11/06/2021,5,5.7808,6.46,11:37:23
11/06/2021,5,5.7808,6.46,11:41:26
11/06/2021,6,6.8363,7.52,11:59:27
11/06/2021,6,6.8363,7.52,12:03:59
11/06/2021,5,5.6977,6.46,12:08:12
11/06/2021,5,5.6977,6.46,12:12:52
11/06/2021,6,6.7334,7.52,12:26:02
11/06/2021,6,6.7334,7.52,12:30:13
11/06/2021,5,5.6022,6.46,12:33:57
11/06/2021,5,5.6022,6.46,12:38:11
11/06/2021,6,6.604,7.52,12:52:13
11/06/2021,6,6.604,7.52,12:56:16
11/06/2021,5,5.4596,6.46,13:07:49
11/06/2021,5,5.4596,6.46,13:13:07
11/06/2021,6,6.5014,7.52,13:16:25
11/06/2021,6,6.5014,7.52,13:20:15
11/06/2021,5,5.395,6.46,13:26:27
11/06/2021,5,5.395,6.46,13:30:48
11/06/2021,6,6.4301,7.52,13:35:01
11/06/2021,6,6.4301,7.52,13:38:45
11/06/2021,5,5.3195,6.46,13:49:04
11/06/2021,5,5.3195,6.46,13:53:48
11/06/2021,6,6.3193,7.52,13:58:55
11/06/2021,6,6.3193,7.52,14:01:52
11/06/2021,5,5.2023,6.46,15:06:32
11/06/2021,5,5.2023,6.46,15:12:55
11/06/2021,6,6.2045,7.52,15:16:20
11/06/2021,6,6.2045,7.52,15:20:49
11/06/2021,5,5.1436,6.46,15:23:48
11/06/2021,5,5.1436,6.46,15:29:03
11/06/2021,6,6.1265,7.52,15:39:41
11/06/2021,6,6.1265,7.52,15:43:46
11/06/2021,5,5.0678,6.46,15:47:39
11/06/2021,5,5.0678,6.46,15:51:21
11/06/2021,6,6.0612,7.52,15:54:18
11/06/2021,6,6.0612,7.52,15:57:45
11/06/2021,5,5.0009,6.46,16:07:52
11/06/2021,5,5.0009,6.46,16:11:27
11/06/2021,6,5.9936,7.52,16:15:57
11/06/2021,6,5.9936,7.52,16:18:39
11/06/2021,5,4.9402,6.46,16:27:39
11/06/2021,5,4.9402,6.46,16:32:25
11/06/2021,6,5.9085,7.52,16:40:11
11/06/2021,6,5.9085,7.52,16:43:40
11/06/2021,5,4.8569,6.46,16:50:48
11/06/2021,5,4.8569,6.46,16:54:36
11/06/2021,6,5.834,7.52,16:59:33
11/06/2021,6,5.834,7.52,17:03:10
11/06/2021,5,4.8034,6.46,17:06:51
11/06/2021,5,4.8034,6.46,17:10:38
11/06/2021,6,5.7765,7.52,17:13:47
11/06/2021,6,5.7765,7.52,17:17:19
11/06/2021,5,4.7556,6.46,17:20:51
11/06/2021,5,4.7556,6.46,17:25:02
11/06/2021,6,5.7291,7.52,17:28:06
11/06/2021,6,5.7291,7.52,17:32:37
11/06/2021,5,4.7073,6.46,17:35:45
11/06/2021,5,4.7073,6.46,17:39:18
11/06/2021,6,5.6848,7.52,17:43:48
11/06/2021,6,5.6848,7.52,17:47:22
11/06/2021,5,4.6635,6.46,17:52:16
11/06/2021,5,4.6635,6.46,17:56:00
11/06/2021,6,5.6227,7.52,18:00:01
11/06/2021,6,5.6227,7.52,18:03:38
13/06/2021,5,3.8682,6.46,11:45:33
13/06/2021,5,3.8682,6.46,11:52:04
13/06/2021,6,4.7504,7.52,11:54:48
13/06/2021,6,4.7504,7.52,11:58:38
13/06/2021,5,3.818,6.46,12:01:42
13/06/2021,5,3.818,6.46,12:05:04
13/06/2021,6,4.7084,7.52,12:07:47
13/06/2021,6,4.7084,7.52,12:11:58
13/06/2021,5,3.7759,6.46,12:15:04
13/06/2021,5,3.7759,6.46,12:18:16
13/06/2021,6,4.6645,7.52,12:21:57
13/06/2021,6,4.6645,7.52,12:24:54
13/06/2021,5,3.7025,6.46,12:29:38
13/06/2021,5,3.7025,6.46,12:33:46
13/06/2021,6,4.5305,7.52,12:36:38
13/06/2021,6,4.5305,7.52,12:40:19
13/06/2021,5,3.6169,6.46,12:42:51
13/06/2021,5,3.6169,6.46,12:46:20
13/06/2021,6,4.4254,7.52,12:49:34
13/06/2021,6,4.4254,7.52,12:53:13
13/06/2021,5,3.5374,6.46,12:56:15
13/06/2021,5,3.5374,6.46,12:59:51
13/06/2021,6,4.3163,7.52,13:02:39
13/06/2021,6,4.3163,7.52,13:07:47
13/06/2021,5,3.4742,6.46,13:10:24
13/06/2021,5,3.4742,6.46,13:15:50
13/06/2021,6,4.2632,7.52,13:19:53
13/06/2021,6,4.2632,7.52,13:23:56
13/06/2021,5,3.3864,6.46,13:26:25
13/06/2021,5,3.3864,6.46,13:30:54
13/06/2021,6,4.1457,7.52,13:33:42
13/06/2021,6,4.1457,7.52,13:37:36
13/06/2021,5,3.3115,6.46,13:40:48
13/06/2021,5,3.3115,6.46,13:47:14
13/06/2021,6,4.0035,7.52,13:50:00
13/06/2021,6,4.0035,7.52,13:53:53
13/06/2021,5,3.2307,6.46,13:56:29
13/06/2021,5,3.2307,6.46,14:00:33
13/06/2021,6,3.8944,7.52,14:03:21
13/06/2021,6,3.8944,7.52,14:06:56
13/06/2021,5,3.1709,6.46,14:09:32
13/06/2021,5,3.1709,6.46,14:13:25
13/06/2021,6,3.7991,7.52,14:16:13
13/06/2021,6,3.7991,7.52,14:20:00
