temp,type,DWt.c,Chlt.c,SAt.c
2,NP,1.917385078,1.652935867,2.174088392
5,NP,1.299567856,1.210979326,1.813874034
10,NP,1.885042488,1.725078853,2.642830408
15,NP,5.235063929,4.980519031,5.455908182
20,NP,1.978226762,1.537056737,3.60538248
25,NP,3.611637278,4.095778904,2.093737667
30,NP,1.54052697,2.05041918,1.480398608
2,DR,1.341453093,1.132826107,1.485331071
5,DR,0.6606878257,0.5839978891,0.8793136454
10,DR,1.098638734,0.9540666676,1.455508751
15,DR,1.059453313,0.930887169,1.395834566
20,DR,0.9867961193,0.8623198071,1.287200029
25,DR,0.9939640517,0.8668119551,1.302599197
30,DR,1.096959844,0.9341332961,1.197778145
