temp,GP_SA,ratio,percent,treatment_type,type
2,2.190890281,0.7914829574,79.14829574,control,NP
5,2.105618584,0.6325095229,63.25095229,control,NP
10,3.536082714,0.4998850669,49.98850669,control,NP
15,3.910293837,0.2152920107,21.52920107,control,NP
20,5.728665573,0.1317009122,13.17009122,control,NP
25,8.089709977,0.2427395663,24.27395663,control,NP
30,11.95207639,0.2612895618,26.12895618,control,NP
2,4.448538637,0.8474654994,84.74654994,treatment,NP
5,3.096168926,0.7802418656,78.02418656,treatment,NP
10,7.245550583,0.6447487083,64.47487083,treatment,NP
15,8.876116666,0.51746545,51.746545,treatment,NP
20,9.122938725,0.2981664943,29.81664943,treatment,NP
25,8.917633801,0.105172361,10.5172361,treatment,NP
30,12.68486635,0.166303296,16.6303296,treatment,NP
2,2.190890281,0.2085170426,20.85170426,control,DR
5,2.105618584,0.3674904771,36.74904771,control,DR
10,3.536082714,0.5001149331,50.01149331,control,DR
15,3.910293837,0.7847079893,78.47079893,control,DR
20,5.728665573,0.8682990878,86.82990878,control,DR
25,8.089709977,0.7572604337,75.72604337,control,DR
30,11.95207639,0.7387104382,73.87104382,control,DR
2,4.448538637,0.1525345006,15.25345006,treatment,DR
5,3.096168926,0.2197581344,21.97581344,treatment,DR
10,7.245550583,0.3552512917,35.52512917,treatment,DR
15,8.876116666,0.48253455,48.253455,treatment,DR
20,9.122938725,0.7018335057,70.18335057,treatment,DR
25,8.917633801,0.894827639,89.4827639,treatment,DR
30,12.68486635,0.833696704,83.3696704,treatment,DR
