Date,Time,Code,Object,Area,Status,Comment,CO2abs,dCO2ZP,dCO2MP,H2Oabs,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Ttop,PARtop,PARbot,PARamb,Imp,rh,E,VPD,GH2O,A,ci,ca,wa
14/06/2021,14:51:08,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.3514,-2.350955,-0.9396383,8495.161,-348.128,11906.65,500.05,100.844,2361,1900,17.89,17.99,29.8,21.35,0,2.2,0.4,5,102.17,7.414545,-0.3062352,-24211.93,-3.904037,413.7088,413.76,20749.9
14/06/2021,14:55:19,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.2026,-2.350955,-1.561879,8493.452,-348.128,12633.89,500.05,100.834,2363,1899,17.88,18.33,26.09,21.02,12.4,1.8,2.6,5,105.74,7.860372,-0.5945794,-13220.05,-3.713779,412.9366,412.99,21475.5
14/06/2021,14:59:29,MP_010,4,8.44,AFF2FF013FF----------4FF------,,411.8106,-2.350955,-2.357455,8490.985,-348.128,11808.21,500.03,100.831,2361,1900,16.25,16.89,25.16,18.96,25.2,1.8,2.5,5,112.77,7.353945,-1.603486,-4586.225,-3.024534,411.8054,411.8,20647.3
14/06/2021,15:03:39,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.4078,-2.350955,-3.286284,8492.241,-348.128,10739.44,500.08,100.852,2360,1897,14.93,15.63,24.33,17.6,50.5,2,2.9,5,116.38,6.700758,-2.016081,-3323.654,-2.196279,410.7329,410.47,19579.8
14/06/2021,15:07:49,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.6009,-2.350955,-4.63537,8488.116,-348.128,9963.467,500.04,100.856,2361,1898,14.4,14.99,22.33,16.77,100.2,2.5,3.1,5,115.61,6.226325,-1.948534,-3195.389,-1.195099,409.9783,409.32,18799.7
14/06/2021,15:12:00,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.7884,-2.350955,-6.577452,8495.269,-348.128,9252.388,500,100.863,2357,1897,13.96,14.31,20.9,15.44,200.4,3.4,3,5,114.56,5.792383,-1.963961,-2949.337,0.143119,408.8883,407.56,18095.8
14/06/2021,15:16:11,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.055,-2.350955,-9.561686,8502.011,-348.128,8922.732,500.13,100.866,2360,1895,14.16,14.24,20.63,14.92,499.9,2.7,2.9,5,111.06,5.593021,-1.710331,-3270.139,2.008547,406.8854,404.84,17772.9
14/06/2021,15:20:21,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.0681,-2.350955,-11.90526,8494.118,-348.128,9107.305,500.05,100.861,2361,1900,14.46,14.48,20.84,15.11,998.9,3.2,2.5,5,109.97,5.704475,-1.63798,-3482.628,3.364534,405.0527,402.51,17949.6
14/06/2021,15:24:32,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.2263,-2.350955,-13.45205,8498.411,-348.128,9493.268,500,100.872,2358,1894,14.64,14.71,20.81,15.44,1499,3.2,3,5,111.07,5.939161,-1.78274,-3331.479,4.194162,404.209,401.13,18339.8
14/06/2021,15:28:10,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.4594,-2.350955,-14.48027,8493.437,-348.128,9827.354,500.03,100.868,2357,1895,14.75,14.89,20.48,15.72,2000.5,3.1,2.2,5,112.27,6.143126,-1.929569,-3183.678,4.726705,403.8565,400.33,18668.9
14/06/2021,15:39:56,MP_010,5,6.46,AFF2FF013FF----------4--------,,412.7014,-2.350955,-4.72901,8501.032,-348.128,8471.178,500.05,100.88,2358,1896,15.48,15.1,23.54,15.55,0.3,1.8,0.3,5,99.39,6.94705,-0.3211396,-21632.49,-1.009765,410.4561,410.32,17320.3
14/06/2021,15:44:07,MP_010,5,6.46,AFF2FF013FF----------4--------,,413.072,-2.350955,-5.393596,8499.243,-348.128,9267.904,500.06,100.891,2357,1895,15.7,16.02,24.92,17.98,12.9,1.8,0.1,5,102.52,7.580929,-7.63E-02,-99311.38,-0.7531493,410.0663,410.03,18115.3
14/06/2021,15:48:17,MP_010,5,6.46,AFF2FF013FF----------4--------,,412.8278,-2.350955,-5.886098,8493.748,-348.128,10321.9,500.02,100.899,2354,1895,16.3,17.12,26.64,20.06,25.2,2.2,0,5,104.37,8.420239,0.1823281,46181.79,-0.7100515,409.2003,409.29,19163.8
14/06/2021,15:52:27,MP_010,5,6.46,AFF2FF013FF----------4--------,,412.6407,-2.350955,-6.637263,8492.589,-348.128,11469.37,500.1,100.907,2354,1894,17.41,18.35,27.4,21.73,50.2,2,0.2,5,103.12,9.338134,0.6020272,15511.15,-0.4950366,408.0209,408.35,20310.1
14/06/2021,15:56:38,MP_010,5,6.46,AFF2FF013FF----------4--------,,412.863,-2.350955,-7.772138,8489.26,-348.128,12549.55,500.11,100.922,2351,1890,18.45,19.45,27.71,23.01,100.4,2,0.2,5,101.69,10.20322,1.0127,10075.27,3.97E-02,406.7925,407.44,21386.9
