date,weight,DR,NP,GP
17/11/2004,13.96,4.31,3.34,7.64
17/11/2004,13.539,1.54,4.06,5.60
17/11/2004,11.047,0.83,4.13,4.95
17/11/2004,12.249,4.49,3.41,7.90
17/11/2004,13.31,5.24,2.80,8.04
02/12/2004,12.195,6.06,2.66,8.72
02/12/2004,15.783,1.90,3.98,5.89
02/12/2004,11.74,4.92,2.66,7.57
02/12/2004,13.67,5.24,2.69,7.93
02/12/2004,11.568,5.17,2.19,7.36
20/12/2004,11.57,10.98,3.52,14.50
20/12/2004,10.854,5.53,1.97,7.50
20/12/2004,10.338,6.03,1.94,7.97
20/12/2004,9.619,5.38,1.87,7.25
02/01/2005,15.408,10.80,4.27,15.07
02/01/2005,14.075,8.97,2.94,11.91
02/01/2005,15.088,8.04,2.73,10.77
02/01/2005,10.888,7.46,2.26,9.73
02/01/2005,16.737,12.38,3.23,15.61
19/01/2005,11.618,12.88,2.66,15.54
19/01/2005,15.185,12.78,3.09,15.86
19/01/2005,14.128,10.08,2.33,12.42
19/01/2005,13.091,12.38,2.76,15.14
19/01/2005,10.928,4.02,1.40,5.42
