date,weight,rate,se,type
17/11/2004,12.821,3.2801,0.8772,DR
02/12/2004,12.195,4.6582,0.7155,DR
20/12/2004,10.5953,6.9801,1.341,DR
02/01/2005,14.4392,9.5317,0.9096,DR
19/01/2005,12.99,10.4289,1.6815,DR
17/11/2004,12.821,3.5457,0.2467,NP
02/12/2004,12.195,2.8351,0.3018,NP
20/12/2004,10.5953,2.3237,0.3984,NP
02/01/2005,14.4392,3.0863,0.3357,NP
19/01/2005,12.99,2.4475,0.2883,NP
17/11/2004,12.821,6.8258,0.6442,GP  
02/12/2004,12.195,7.4933,0.4641,GP  
20/12/2004,10.5953,9.3038,1.7379,GP  
02/01/2005,14.4392,12.618,1.1678,GP  
19/01/2005,12.99,12.8764,1.9618,GP  
