Date,Time,Code,Object,Area,Status,Comment,CO2abs,dCO2ZP,dCO2MP,H2Oabs,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Ttop,PARtop,PARbot,PARamb,Imp,rh,E,VPD,GH2O,A,ci,ca,wa
11/06/2021,09:25:22,ZPi010,0,6.06,AFF2FF013FF----------4--------,,410.842,2.71E-02,,13634.03,257.602,,500.08,100.154,2286,1859,14.79,15.27,19.04,15.05,420,2.7,1.8,4,,,,,,,410.87,13891.6
11/06/2021,09:25:50,ZPi010,0,6.06,AFF2FF013FF----------4--------,,410.8698,0.4692594,,13632.14,171.9487,,500.03,100.154,2286,1858,14.8,15.28,19.09,15.05,420.2,2.9,1.9,4,,,,,,,411.31,13546.5
11/06/2021,09:31:41,ZPc010,0,6.06,AFF2FF013FF----------4--------,,411.2961,0.3776269,0.3776269,13626.02,166.947,166.947,500.04,100.164,2287,1856,14.89,15.34,19.38,15.07,420,2.7,2.2,4,,,,,,,411.2,13621
11/06/2021,09:47:41,MP_010,1,6.06,AFF2FF013FF----------4--------,,411.9102,0.3776269,3.852848,13612.02,166.947,5552.401,500.09,100.161,2294,1860,15.15,15.24,21.01,15.31,0.7,2.5,0.2,4,110.58,4.530341,-1.745443,-2595.525,-4.749718,413.6593,415.39,18997.5
11/06/2021,09:52:18,MP_010,1,6.06,AFF2FF013FF----------4--------,,411.9125,0.3776269,1.736928,13616.62,166.947,5858.113,500.06,100.162,2298,1863,15.4,15.74,22.02,16.45,419.7,2.5,0.7,4,110.57,4.788726,-1.495041,-3203.074,-3.100722,412.7249,413.27,19307.8
11/06/2021,09:58:53,MP_010,5,6.46,AFF2FF013FF----------4--------,,411.9041,0.3776269,2.222606,13613.97,166.947,6031.308,500.11,100.161,2301,1866,15.26,15.86,21.91,16.59,0.5,2.2,0.3,4,112.59,4.630159,-1.522314,-3041.527,-3.344039,413.0156,413.75,19478.3
11/06/2021,10:05:19,MP_010,5,6.46,AFF2FF013FF----------4--------,,412.0707,0.3776269,-5.015795,13610.44,166.947,6882.311,500.01,100.167,2307,1870,15.74,16.93,24.05,19.16,899.4,2.5,0.7,4,113.95,5.305596,-1.096224,-4839.883,2.016894,408.024,406.68,20325.8
11/06/2021,10:11:07,MP_010,2,6.75,AFF2FF013FF----------4--------,,412.0897,0.3776269,2.360891,13615.9,166.947,7335.531,500.11,100.165,2311,1873,15.52,16.53,23.51,18.19,0.2,2.2,0.3,4,118.1,5.423957,-2.064131,-2627.719,-3.715319,413.1992,414.07,20784.5
11/06/2021,10:20:39,MP_010,2,6.75,AFF2FF013FF----------4--------,,412.4616,0.3776269,1.082563,13605.63,166.947,9420.505,500.03,100.176,2317,1878,17.34,18.61,25.41,21.97,600.4,2,0.1,4,115.71,7.015312,-1.492557,-4700.196,-3.420702,412.993,413.17,22859.2
11/06/2021,10:26:33,MP_010,6,7.52,AFF2FF013FF----------4--------,,412.4584,0.3776269,2.929351,13606.06,166.947,8960.901,500.01,100.176,2321,1878,16.71,17.54,25.66,20.11,0,1.8,0.4,4,118.03,5.981109,-2.445824,-2445.438,-4.178871,413.9257,415.01,22400
11/06/2021,10:33:53,MP_010,6,7.52,AFF2FF013FF----------4--------,,412.5308,0.3776269,-5.036482,13603.38,166.947,10515.88,500.08,100.194,2326,1883,17.75,18.7,25.49,22.1,899.4,2,0.1,5,118.21,7.050897,-2.493845,-2827.319,0.7298305,409.1071,407.12,23952.3
