Date,Time,Code,Object,Area,Status,Comment,CO2abs,dCO2ZP,dCO2MP,H2Oabs,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Ttop,PARtop,PARbot,PARamb,Imp,rh,E,VPD,GH2O,A,ci,ca,wa
14/06/2021,18:03:21,ZPi010,0,8.44,AFF2FF013FF----------4--------,,424.7567,-2.219758,,11912.74,-621.2706,,500.05,100.961,2327,1882,14.88,14.76,19.01,14.88,0,2.2,0.2,5,,,,,,,426.49,11684.4
14/06/2021,18:07:32,MP_010,4,8.44,AFF2FF013FF----------4--------,,422.7609,-2.219758,9.02E-02,11895.62,-621.2706,6688.66,500.1,100.985,2323,1874,14.91,14.67,19.09,14.88,0.2,1.8,0.3,5,114.42,4.416245,-2.729568,-1617.929,-3.245957,423.7483,425.07,19205.6
14/06/2021,18:11:43,MP_010,4,8.44,AFF2FF013FF----------4--------,,419.2336,-2.219758,-5.208669,11900.99,-621.2706,6728.144,500.04,100.97,2323,1877,14.95,14.79,19.18,15.25,749.8,2,0.7,5,114.44,4.439769,-2.640247,-1681.573,-7.72E-02,417.8909,416.24,19250.4
14/06/2021,18:15:53,MP_010,4,8.44,AFF2FF013FF----------4--------,,416.2719,-2.219758,0.5701582,11898.14,-621.2706,6519.485,500.03,100.96,2320,1875,14.95,14.66,18.79,14.86,0.3,1.4,0.7,5,113.16,4.312699,-2.57146,-1677.141,-3.460192,417.5212,419.06,19038.9
14/06/2021,18:20:04,MP_010,4,8.44,AFF2FF013FF----------4FF------,,414.1352,-2.219758,-5.153988,11900.29,-621.2706,6649.478,500.12,100.951,2322,1877,14.96,14.78,18.88,15.22,750,1.8,0.8,5,113.84,4.392602,-2.567911,-1710.574,-6.75E-02,412.7899,411.2,19171
14/06/2021,18:24:14,MP_010,4,8.44,AFF2FF013FF----------4--------,,412.8419,-2.219758,0.9216434,11902.16,-621.2706,6464.414,500.04,100.96,2318,1875,14.97,14.67,18.56,14.85,0,1.4,0.8,5,112.72,4.279238,-2.504721,-1708.469,-3.641246,414.2805,415.98,18987.8
14/06/2021,18:28:25,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.9823,-2.219758,-4.908706,11901.24,-621.2706,6621.478,500.04,100.968,2319,1874,14.98,14.8,18.7,15.2,749.5,2.5,0.7,5,113.57,4.374835,-2.53012,-1729.102,-0.1974804,410.7335,409.29,19144
14/06/2021,18:32:35,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.639,-2.219758,1.186813,11906.13,-621.2706,6427.359,500,100.968,2318,1873,14.96,14.65,18.53,14.81,0,1.4,0.7,5,112.59,4.25645,-2.497506,-1704.28,-3.784751,413.1947,415.05,18954.8
14/06/2021,18:36:46,MP_010,4,8.44,AFF2FF013FF----------4--------,,411.1344,-2.219758,-4.72676,11904.66,-621.2706,6602.573,500.04,100.965,2317,1875,15,14.78,18.43,15.17,750.3,2,0.8,5,113.31,4.363324,-2.526275,-1727.177,-0.2976679,409.9716,408.63,19128.5
14/06/2021,18:40:56,MP_010,4,8.44,AFF2FF013FF----------4--------,,410.8422,-2.219758,1.609697,11904.9,-621.2706,6421.892,500.03,100.974,2316,1871,14.96,14.64,18.45,14.8,0.5,1.6,0.3,5,112.56,4.25334,-2.498558,-1702.318,-4.032514,412.5885,414.67,18948.1
